Date,Symbol,Invested Amount,Absolute Profit,Yield Per Day,Age of Stock,Profit Percentage,ROI per day
7/16/2025,RAJESHEXPO,33522,-13007,-56.30735931,231,-38.80138417,-0.16797136
7/16/2025,SHAILY,28922.59999,-1234.699987,-53.68260813,23,-4.268979924,-0.185607823
7/16/2025,SOLARINDS,31550,-995,-165.8333333,6,-3.153724247,-0.525620708
7/16/2025,TATAMOTORS,52964.85,-12185.85,-45.30055762,269,-23.00742851,-0.085529474
7/16/2025,TATATECH,29577.95,-101.95,-0.894298246,114,-0.344682441,-0.00302353
7/16/2025,VBL,19122.5,256.150001,7.115277806,36,1.339521511,0.037208931
7/17/2025,AARTIIND,40887.24997,-8900.74997,-29.57059791,301,-21.76901106,-0.072322296
7/17/2025,AGARIND,18977,-433,-22.78947368,19,-2.281709438,-0.12008997
7/17/2025,AWFIS,9330,420.75,46.75,9,4.509646302,0.501071811
7/17/2025,BAJAJHFL,16390.79996,-174.599964,-1.064633927,164,-1.065231498,-0.006495314
7/17/2025,CAPITALSFB,11280,-28,-2,14,-0.24822695,-0.017730496
7/17/2025,COALINDIA,29497.99993,-25.199928,-0.868963034,29,-0.085429277,-0.002945837
7/17/2025,DATAPATTNS,8487.9,177.45,59.15,3,2.090623122,0.696874374
7/17/2025,DEEDEV,9724.299981,426.500019,142.166673,3,4.385920013,1.461973338
7/17/2025,ELECTCAST,19707.49995,-1737.49995,-12.06597187,144,-8.81644021,-0.061225279
7/17/2025,FINPIPE,19485.71994,611.480058,76.43500725,8,3.138093228,0.392261654
7/17/2025,GAEL,11408.3333,116.6667,3.070176316,38,1.022644561,0.026911699
7/17/2025,GOACARBON,19530,582,38.8,15,2.980030722,0.198668715
7/17/2025,HGINFRA,9562.399992,483.400008,37.184616,13,5.055216352,0.388862796
7/17/2025,INFY,13059.2,-317.6,-10.95172414,29,-2.43200196,-0.083862137
7/17/2025,INOXWIND,27119.76398,-71.763979,-11.96066317,6,-0.264618745,-0.044103124
7/17/2025,IRCTC,38434.3,-7220.3,-22.35386997,323,-18.7860843,-0.058161252
7/17/2025,ITC,19159,374.9,9.612820513,39,1.956782713,0.050173916
7/17/2025,ITDC,9659.85,20.15,1.343333333,15,0.208595372,0.013906358
7/17/2025,JINDALSAW,12100,-597.5,-28.45238095,21,-4.938016529,-0.235143644
7/17/2025,LODHA,8394,264.3,15.54705882,17,3.148677627,0.185216331
7/17/2025,LUXIND,8676,282.6,18.84,15,3.257261411,0.217150761
7/17/2025,LXCHEM,0,0,0,0,0,0
7/17/2025,NAHARINDUS-BE,9271,219,0,0,2.362204724,0
7/17/2025,NCC,19110.01,520.740005,16.27312516,32,2.724959354,0.08515498
7/17/2025,PERSISTENT,11160,-71,-11.83333333,6,-0.636200717,-0.106033453
7/17/2025,PNCINFRA,25038,742,3.785714286,196,2.963495487,0.015119875
7/17/2025,POLYPLEX,55695.76826,-1890.168262,-60.97316974,31,-3.393737659,-0.109475408
7/17/2025,PRICOLLTD,9572.85,-55.65,-18.55,3,-0.581331578,-0.193777193
7/17/2025,RAJESHEXPO,33522,-12654,-54.54310345,232,-37.74834437,-0.162708381
7/17/2025,SHAILY,28922.59999,-772.299987,-32.17916612,24,-2.670230157,-0.11125959
7/17/2025,SOLARINDS,31550,-1096,-156.5714286,7,-3.47385103,-0.496264433
7/17/2025,TATAMOTORS,52964.85,-11954.85,-44.27722222,270,-22.5712902,-0.083597371
7/17/2025,TATATECH,25880.70625,-363.95625,-3.433549528,106,-1.406284073,-0.013266831
7/17/2025,VBL,19122.5,912.150001,24.65270273,37,4.770035304,0.128919873
7/18/2025,AARTIIND,40887.24997,-9691.74997,-32.09188732,302,-23.70359948,-0.07848874
7/18/2025,AGARIND,18977,-276,-13.8,20,-1.454392159,-0.072719608
7/18/2025,BAJAJHFL,16390.79996,-286.799964,-1.7381816,165,-1.749761846,-0.010604617
7/18/2025,CAPITALSFB,11280,366,24.4,15,3.244680851,0.216312057
7/18/2025,COALINDIA,29497.99993,-283.599928,-9.453330933,30,-0.961420872,-0.032047362
7/18/2025,DATAPATTNS,8487.9,49.8,12.45,4,0.586717563,0.146679391
7/18/2025,DEEDEV,9724.299981,353.900019,88.47500475,4,3.63933671,0.909834178
7/18/2025,ELECTCAST,19707.49995,-2052.49995,-14.15517207,145,-10.41481647,-0.07182632
7/18/2025,FINPIPE,19485.71994,268.380058,29.82000644,9,1.377316613,0.153035179
7/18/2025,GAEL,11362.5,-171.5,-4.397435897,39,-1.509350935,-0.038701306
7/18/2025,GOACARBON,19530,216,13.5,16,1.105990783,0.069124424
7/18/2025,HGINFRA,9562.399992,265.600008,18.97142914,14,2.777545472,0.198396105
7/18/2025,INFY,13059.2,-399.2,-13.30666667,30,-3.056848812,-0.10189496
7/18/2025,INOXWIND,27009.45,-545.879999,-77.982857,7,-2.0210704,-0.288724343
7/18/2025,IRCTC,38434.3,-7820.3,-24.1367284,324,-20.34718988,-0.062799969
7/18/2025,ITC,19159,243.8,6.095,40,1.272509004,0.031812725
7/18/2025,ITDC,9659.85,3.35,0.209375,16,0.034679628,0.002167477
7/18/2025,JINDALSAW,12100,-795,-36.13636364,22,-6.570247934,-0.298647633
7/18/2025,LODHA,8394,286.8,15.93333333,18,3.416726233,0.189818124
7/18/2025,LUXIND,8676,61.2,3.825,16,0.705394191,0.044087137
7/18/2025,NAHARINDUS-BE,0,0,0,0,0,0
7/18/2025,NCC,19110.01,319.290005,9.675454697,33,1.67079978,0.050630296
7/18/2025,PERSISTENT,11160,-302,-43.14285714,7,-2.70609319,-0.386584741
7/18/2025,PNCINFRA,21780.25003,70.24997,0.375668289,187,0.322539778,0.001724812
7/18/2025,POLYPLEX,55370.84998,-2065.799977,-64.55624928,32,-3.730843897,-0.116588872
7/18/2025,PRICOLLTD,9572.85,-12.6,-3.15,4,-0.131622244,-0.032905561
7/18/2025,RAJESHEXPO,33522,-13112,-56.27467811,233,-39.1146113,-0.167873868
7/18/2025,SHAILY,28922.59999,-1462.499987,-58.49999948,25,-5.056599295,-0.202263972
7/18/2025,SOLARINDS,31550,-1684,-421,4,-5.337559429,-1.334389857
7/18/2025,TATAMOTORS,52964.85,-12206.85,-45.04372694,271,-23.04707745,-0.085044566
7/18/2025,TATATECH,25477.95002,-412.700015,-3.857009486,107,-1.619832109,-0.015138618
7/18/2025,VBL,14458.47561,570.324391,15.84234419,36,3.944567923,0.109571331
7/21/2025,AARTIIND,40887.24997,-9947.24997,-32.61393433,305,-24.32848865,-0.079765537
7/21/2025,AGARIND,18977,615,26.73913043,23,3.240765137,0.140902832
7/21/2025,BAJAJHFL,17609.30001,-377.60001,-2.157714343,175,-2.144321522,-0.012253266
7/21/2025,CAPITALSFB,11280,1506,83.66666667,18,13.35106383,0.741725768
7/21/2025,COALINDIA,29497.99993,-82.199928,-2.490906909,33,-0.278662717,-0.008444325
7/21/2025,DATAPATTNS,8487.9,-348,-49.71428571,7,-4.099954052,-0.585707722
7/21/2025,DEEDEV,9724.299981,281.300019,40.185717,7,2.892753407,0.413250487
7/21/2025,ELECTCAST,19707.49995,-2232.49995,-15.08445912,148,-11.32817433,-0.076541718
7/21/2025,FINPIPE,16376.29655,-43.046547,-3.58721225,12,-0.262858864,-0.021904905
7/21/2025,GAEL,12480.89997,-342.39997,-7.608888222,45,-2.743391669,-0.060964259
7/21/2025,GOACARBON,19530,8,0.421052632,19,0.040962622,0.002155927
7/21/2025,HGINFRA,9562.399992,250.300008,14.72352988,17,2.617543799,0.153973165
7/21/2025,INFY,13059.2,-404,-12.24242424,33,-3.093604509,-0.093745591
7/21/2025,INOXWIND,27009.45,-283.449999,-28.3449999,10,-1.049447505,-0.10494475
7/21/2025,IRCTC,38434.3,-7728.3,-23.63394495,327,-20.10782036,-0.061491805
7/21/2025,ITC,19159,131.1,3.048837209,43,0.684273709,0.015913342
7/21/2025,ITDC,9659.85,-27.85,-1.465789474,19,-0.288306754,-0.01517404
7/21/2025,JINDALSAW,12100,-691,-27.64,25,-5.710743802,-0.228429752
7/21/2025,LODHA,8394,238.8,11.37142857,21,2.844889207,0.135470915
7/21/2025,LUXIND,8676,73.2,3.852631579,19,0.843706777,0.04440562
7/21/2025,NCC,19110.01,239.390005,6.649722361,36,1.252694295,0.034797064
7/21/2025,PERSISTENT,11160,310.8,31.08,10,2.784946237,0.278494624
7/21/2025,PNCINFRA,21780.24996,245.25004,1.290789684,190,1.126020319,0.005926423
7/21/2025,POLYPLEX,55370.84998,-2636.849977,-75.33857077,35,-4.762162723,-0.136061792
7/21/2025,PRICOLLTD,9572.85,-321.3,0,0,-3.356367226,0
7/21/2025,RAJESHEXPO,33522,-13337,-56.51271186,236,-39.7858123,-0.16858395
7/21/2025,SHAILY,30545.3,-269.299998,-9.617857071,28,-0.881641359,-0.031487191
7/21/2025,SOLARINDS,46550,-1679.000001,-209.8750001,8,-3.606874331,-0.450859291
7/21/2025,TATAMOTORS,52964.85,-11804.85,-43.08339416,274,-22.28808351,-0.08134337
7/21/2025,TATATECH,25477.94998,-458.19998,-4.165454364,110,-1.798417771,-0.016349252
7/21/2025,VBL,14397.5,806.449996,20.67820503,39,5.601319644,0.143623581
