symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
CCL,INE421D01022,2025-04-11,NSE,EQ,EQ,sell,False,3.0,610.25,2633265,1000000025288322,2025-04-11T10:50:34
IRFC,INE053F01010,2025-04-11,NSE,EQ,EQ,buy,False,10.0,123.8,203260238,1100000025806186,2025-04-11T10:52:09
LODHA,INE670K01029,2025-04-15,NSE,EQ,EQ,sell,False,5.0,1181.0,402228662,1200000014524138,2025-04-15T09:59:12
GRAPHITE,INE371A01025,2025-04-16,BSE,EQ,A,sell,False,10.0,472.5,1605800,1744774200026781666,2025-04-16T09:35:52
BAJAJHFL,INE377Y01014,2025-04-17,NSE,EQ,EQ,sell,False,4.0,128.5,1570133,1000000012132574,2025-04-17T10:01:23
BAJAJHFL,INE377Y01014,2025-04-17,NSE,EQ,EQ,sell,False,10.0,128.5,1570134,1000000012132574,2025-04-17T10:01:23
BAJAJHFL,INE377Y01014,2025-04-17,NSE,EQ,EQ,sell,False,6.0,128.5,1570135,1000000012132574,2025-04-17T10:01:23
BMW,INE374E01021,2025-04-17,BSE,EQ,B,sell,False,1.0,48.7,9087600,1744860600030273573,2025-04-17T13:02:35
TATATECH,INE142M01025,2025-04-21,BSE,EQ,A,buy,False,5.0,670.0,2192900,1745208472302145299,2025-04-21T09:42:46
ZENSARTECH,INE520A01027,2025-04-22,NSE,EQ,EQ,sell,False,2.0,680.05,608750553,1300000067383076,2025-04-22T15:06:15
ZENSARTECH,INE520A01027,2025-04-22,NSE,EQ,EQ,sell,False,12.0,680.1,608750551,1300000067383076,2025-04-22T15:06:15
ZENSARTECH,INE520A01027,2025-04-22,NSE,EQ,EQ,sell,False,1.0,680.05,608750552,1300000067383076,2025-04-22T15:06:15
VSSL,INE050M01012,2025-04-23,BSE,EQ,B,sell,False,50.0,249.0,6625900,1745379000001512171,2025-04-23T10:04:31
BMW,INE374E01021,2025-04-23,BSE,EQ,B,sell,False,95.0,51.0,2865200,1745379000001151391,2025-04-23T10:08:00
BMW,INE374E01021,2025-04-23,BSE,EQ,B,sell,False,5.0,51.0,2847400,1745379000001151391,2025-04-23T10:08:00
LICHSGFIN,INE115A01026,2025-04-23,NSE,EQ,EQ,sell,False,25.0,600.0,402803954,1200000019942521,2025-04-23T10:11:36
BAJAJHFL,INE377Y01014,2025-04-23,BSE,EQ,B,sell,False,30.0,129.45,2009700,1745382689514167760,2025-04-23T10:13:38
IRFC,INE053F01010,2025-04-23,NSE,EQ,EQ,sell,False,20.0,130.0,203646361,1100000026894414,2025-04-23T10:47:42
HINDCOPPER,INE531E01026,2025-04-23,BSE,EQ,A,sell,False,20.0,220.0,2493400,1745384760885240752,2025-04-23T10:47:47
GRAPHITE,INE371A01025,2025-04-23,BSE,EQ,A,sell,False,20.0,475.0,7042800,1745384765615540323,2025-04-23T10:56:07
JPPOWER,INE351F01018,2025-04-23,BSE,EQ,A,sell,False,50.0,15.51,6301600,1745384392578738744,2025-04-23T10:56:52
JPPOWER,INE351F01018,2025-04-23,BSE,EQ,A,sell,False,50.0,15.52,6301400,1745384392578738744,2025-04-23T10:56:52
VSSL,INE050M01012,2025-04-24,BSE,EQ,B,sell,False,60.0,277.0,2552300,1745466993075062575,2025-04-24T09:27:36
LODHA,INE670K01029,2025-04-24,NSE,EQ,EQ,sell,False,10.0,1340.0,401065749,1200000007366919,2025-04-24T09:29:35
BEARDSELL,INE520H01022,2025-04-24,NSE,EQ,EQ,buy,False,100.0,29.65,3089463,1000000028201850,2025-04-24T11:32:13
INSECTICID,INE070I01018,2025-04-24,NSE,EQ,EQ,sell,False,20.0,730.0,205227396,1100000041526646,2025-04-24T12:51:03
JPPOWER,INE351F01018,2025-04-25,NSE,EQ,EQ,buy,False,50.0,14.85,406276796,1200000053980320,2025-04-25T11:51:48
BEARDSELL,INE520H01022,2025-04-25,NSE,EQ,EQ,buy,False,1.0,27.69,4861707,1000000043021781,2025-04-25T11:53:59
BEARDSELL,INE520H01022,2025-04-25,NSE,EQ,EQ,buy,False,49.0,27.7,4861708,1000000043021781,2025-04-25T11:53:59
LODHA,INE670K01029,2025-04-25,BSE,EQ,A,sell,False,13.0,1300.3,12548600,1745562188519063541,2025-04-25T11:56:10
HINDCOPPER,INE531E01026,2025-04-25,NSE,EQ,EQ,buy,False,10.0,215.0,206045277,1100000050489486,2025-04-25T12:12:52
M&MFIN,INE774D01024,2025-04-28,NSE,EQ,EQ,sell,False,30.0,262.0,400273856,1200000001556599,2025-04-28T09:17:24
DHARMAJ,INE00OQ01016,2025-04-28,NSE,EQ,EQ,buy,False,1.0,207.78,203089980,1100000023723863,2025-04-28T10:21:59
DHARMAJ,INE00OQ01016,2025-04-28,NSE,EQ,EQ,buy,False,4.0,207.82,203089981,1100000023723863,2025-04-28T10:21:59
CCL,INE421D01022,2025-04-30,NSE,EQ,EQ,sell,False,10.0,600.0,4006918,1000000033211802,2025-04-30T11:54:51
INSECTICID,INE070I01018,2025-05-02,BSE,EQ,B,sell,False,17.0,682.05,52700,1746156600045047039,2025-05-02T09:15:01
BEARDSELL,INE520H01022,2025-05-02,NSE,EQ,EQ,buy,False,50.0,27.15,45678,1000000000219958,2025-05-02T09:15:03
DHARMAJ,INE00OQ01016,2025-05-02,NSE,EQ,EQ,buy,False,10.0,203.0,200315569,1100000001663451,2025-05-02T09:17:10
BMW,INE374E01021,2025-05-02,BSE,EQ,B,buy,False,51.0,47.15,2095200,1746156600040020633,2025-05-02T09:38:52
IGIL,INE0Q9301021,2025-05-05,NSE,EQ,EQ,buy,False,30.0,344.95,200046319,1100000000269100,2025-05-05T09:15:01
JPPOWER,INE351F01018,2025-05-05,BSE,EQ,A,buy,False,50.0,14.28,291900,1746415800013081058,2025-05-05T09:16:18
GAEL,INE036B01030,2025-05-05,NSE,EQ,EQ,buy,False,50.0,115.0,206479946,1100000055808633,2025-05-05T14:04:03
BMW,INE374E01021,2025-05-06,BSE,EQ,B,sell,False,350.0,54.3,590300,1746502200009095917,2025-05-06T09:19:22
TATASTEEL,INE081A01020,2025-05-06,BSE,EQ,A,sell,False,50.0,142.25,450200,1746502200012211273,2025-05-06T09:22:19
BEARDSELL,INE520H01022,2025-05-06,NSE,EQ,EQ,buy,False,17.0,27.0,4275452,1000000039365786,2025-05-06T12:49:11
BEARDSELL,INE520H01022,2025-05-06,NSE,EQ,EQ,buy,False,33.0,27.0,4275451,1000000039365786,2025-05-06T12:49:11
YUKEN,INE384C01016,2025-05-06,NSE,EQ,EQ,buy,False,4.0,783.4,606016720,1300000053093096,2025-05-06T14:16:45
YUKEN,INE384C01016,2025-05-06,NSE,EQ,EQ,buy,False,3.0,783.85,606016722,1300000053093096,2025-05-06T14:16:45
YUKEN,INE384C01016,2025-05-06,NSE,EQ,EQ,buy,False,3.0,783.8,606016721,1300000053093096,2025-05-06T14:16:45
IRFC,INE053F01010,2025-05-06,NSE,EQ,EQ,buy,False,10.0,121.25,206358739,1100000057659091,2025-05-06T14:18:02
NATIONALUM,INE139A01034,2025-05-06,NSE,EQ,EQ,buy,False,50.0,155.0,406307427,1200000063352519,2025-05-06T14:55:00
CCL,INE421D01022,2025-05-07,BSE,EQ,A,sell,False,25.0,680.0,548200,1746588600011003552,2025-05-07T09:15:02
BEARDSELL,INE520H01022,2025-05-07,NSE,EQ,EQ,buy,False,50.0,26.7,965699,1000000001929437,2025-05-07T09:17:56
ITDC,INE353K01014,2025-05-07,NSE,EQ,EQ,buy,False,5.0,530.0,202219983,1100000016825369,2025-05-07T09:53:59
ITDC,INE353K01014,2025-05-07,NSE,EQ,EQ,buy,False,15.0,530.0,202219984,1100000016825369,2025-05-07T09:53:59
HINDCOPPER,INE531E01026,2025-05-07,NSE,EQ,EQ,buy,False,10.0,210.0,204657253,1100000043311381,2025-05-07T11:43:35
IRFC,INE053F01010,2025-05-07,NSE,EQ,EQ,buy,False,10.0,121.5,209044778,1100000080805074,2025-05-07T15:25:58
JPPOWER,INE351F01018,2025-05-08,BSE,EQ,A,buy,False,50.0,13.8,217100,1746675000236011393,2025-05-08T09:15:06
AARTIDRUGS,INE767A01016,2025-05-08,NSE,EQ,EQ,sell,False,15.0,420.0,152163,1000000000608639,2025-05-08T09:15:42
GAEL,INE036B01030,2025-05-08,NSE,EQ,EQ,buy,False,30.0,114.2,204151079,1100000035249720,2025-05-08T12:20:11
DHARMAJ,INE00OQ01016,2025-05-08,NSE,EQ,EQ,sell,False,30.0,233.11,207507287,1100000062611911,2025-05-08T14:55:57
POLYPLEX,INE633B01018,2025-05-09,NSE,EQ,EQ,buy,False,4.0,1178.9,400075477,1200000000328003,2025-05-09T09:15:12
POLYPLEX,INE633B01018,2025-05-09,NSE,EQ,EQ,buy,False,1.0,1178.9,400075478,1200000000328003,2025-05-09T09:15:12
GRAPHITE,INE371A01025,2025-05-09,NSE,EQ,EQ,sell,False,6.0,440.0,200322185,1100000001572840,2025-05-09T09:16:57
GRAPHITE,INE371A01025,2025-05-09,NSE,EQ,EQ,sell,False,4.0,440.0,200322189,1100000001572840,2025-05-09T09:16:57
M&MFIN,INE774D01024,2025-05-12,BSE,EQ,A,buy,False,20.0,254.85,2392300,1747020600054001777,2025-05-12T09:15:04
SELAN,INE818A01017,2025-05-12,NSE,EQ,EQ,buy,False,10.0,515.0,600167357,1300000000422586,2025-05-12T09:15:08
DHARMAJ,INE00OQ01016,2025-05-13,NSE,EQ,EQ,sell,False,20.0,238.0,200406826,1100000002334421,2025-05-13T09:18:15
NATIONALUM,INE139A01034,2025-05-13,BSE,EQ,A,sell,False,50.0,166.0,5535400,1747120679914850639,2025-05-13T13:45:06
JPPOWER,INE351F01018,2025-05-14,BSE,EQ,A,buy,False,50.0,14.65,9662600,1747202112695050794,2025-05-14T11:29:58
YUKEN,INE384C01016,2025-05-14,NSE,EQ,EQ,sell,False,1.0,878.5,604346849,1300000034408214,2025-05-14T11:33:29
YUKEN,INE384C01016,2025-05-14,NSE,EQ,EQ,sell,False,4.0,878.45,604346850,1300000034408214,2025-05-14T11:33:29
YUKEN,INE384C01016,2025-05-14,NSE,EQ,EQ,sell,False,1.0,878.55,604346848,1300000034408214,2025-05-14T11:33:29
YUKEN,INE384C01016,2025-05-16,BSE,EQ,B,sell,False,1.0,950.0,3316200,1747366200001086108,2025-05-16T09:27:43
YUKEN,INE384C01016,2025-05-16,BSE,EQ,B,sell,False,1.0,950.0,3315600,1747366200001086108,2025-05-16T09:27:43
YUKEN,INE384C01016,2025-05-16,BSE,EQ,B,sell,False,1.0,950.0,3315200,1747366200001086108,2025-05-16T09:27:43
YUKEN,INE384C01016,2025-05-16,BSE,EQ,B,sell,False,1.0,950.0,3315400,1747366200001086108,2025-05-16T09:27:43
YUKEN,INE384C01016,2025-05-16,BSE,EQ,B,sell,False,5.0,950.0,3315800,1747366200001086108,2025-05-16T09:27:43
YUKEN,INE384C01016,2025-05-16,BSE,EQ,B,sell,False,1.0,950.0,3316000,1747366200001086108,2025-05-16T09:27:43
IGIL,INE0Q9301021,2025-05-16,BSE,EQ,B,sell,False,1.0,376.0,9304600,1747369048120746977,2025-05-16T10:13:50
IGIL,INE0Q9301021,2025-05-16,BSE,EQ,B,sell,False,6.0,376.0,9305600,1747369048120746977,2025-05-16T10:13:50
IGIL,INE0Q9301021,2025-05-16,BSE,EQ,B,sell,False,13.0,376.0,9370000,1747369048120746977,2025-05-16T10:13:50
IGIL,INE0Q9301021,2025-05-16,BSE,EQ,B,sell,False,10.0,376.0,9349800,1747369048120746977,2025-05-16T10:13:50
FIVESTAR,INE128S01021,2025-05-19,NSE,EQ,EQ,buy,False,20.0,670.0,202446529,1100000014803326,2025-05-19T09:45:19
GRAPHITE,INE371A01025,2025-05-19,NSE,EQ,EQ,sell,False,20.0,543.5,204122004,1100000028985319,2025-05-19T10:30:25
JPPOWER,INE351F01018,2025-05-19,BSE,EQ,A,sell,False,200.0,15.36,13146200,1747630331365361100,2025-05-19T10:34:49
IRFC,INE053F01010,2025-05-20,NSE,EQ,EQ,sell,False,100.0,138.0,200572232,1100000003343297,2025-05-20T09:20:14
BEARDSELL,INE520H01022,2025-05-20,NSE,EQ,EQ,sell,False,300.0,30.5,937091,1000000006370447,2025-05-20T09:28:50
ITDC,INE353K01014,2025-05-20,BSE,EQ,B,sell,False,20.0,600.0,1601000,1747711800000513879,2025-05-20T09:30:23
TATATECH,INE142M01025,2025-05-20,BSE,EQ,A,sell,False,10.0,755.0,15519700,1747720045690576895,2025-05-20T11:49:06
SELAN,INE818A01017,2025-05-20,BSE,EQ,B,sell,False,10.0,565.0,7291700,1747722027361846310,2025-05-20T12:31:06
POLYPLEX,INE633B01018,2025-05-20,BSE,EQ,A,sell,False,5.0,1280.0,7116600,1747726547767679621,2025-05-20T14:13:42
HINDCOPPER,INE531E01026,2025-05-21,BSE,EQ,A,sell,False,30.0,224.0,339900,1747798200085111876,2025-05-21T09:19:53
M&MFIN-RE1-R,INE774D20024,2025-05-26,BSE,EQ,R,sell,False,7.0,59.5,14300,1748230200011003079,2025-05-26T09:15:02
BAJAJHFL,INE377Y01014,2025-05-27,NSE,EQ,EQ,buy,False,1.0,123.51,5885088,1000000059214068,2025-05-27T14:29:23
GAEL,INE036B01030,2025-05-28,NSE,EQ,EQ,buy,False,10.0,114.63,202339445,1100000018633580,2025-05-28T10:07:15
YUKEN,INE384C01016,2025-05-28,BSE,EQ,B,sell,False,9.0,1051.2,33796500,1748425787976120736,2025-05-28T15:29:56
YUKEN,INE384C01016,2025-05-28,BSE,EQ,B,sell,False,1.0,1051.2,33792000,1748425787976120736,2025-05-28T15:29:56
