symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
SOUTHBANK,INE683A01023,2024-10-23,NSE,EQ,EQ,BUY,FALSE,200,23.36,601536185,NA,NA
LODHA,INE670K01029,2024-10-23,NSE,EQ,EQ,BUY,FALSE,2,1054.2,401711243,NA,NA
PNCINFRA,INE195J01029,2024-10-22,NSE,EQ,EQ,BUY,FALSE,10,341.35,401715976,NA,NA
LODHA,INE670K01029,2024-10-22,NSE,EQ,EQ,BUY,FALSE,9,1120.4,402226992,NA,NA
LODHA,INE670K01029,2024-10-22,NSE,EQ,EQ,BUY,FALSE,1,1120.45,402226993,NA,NA
COCHINSHIP,INE704P01025,2024-10-22,NSE,EQ,EQ,BUY,FALSE,2,1486.0,1299191,NA,NA
SOUTHBANK,INE683A01023,2024-10-22,BSE,EQ,EQ,BUY,FALSE,500,24.59,1491400,NA,NA
PNCINFRA,INE195J01029,2024-10-21,NSE,EQ,EQ,BUY,FALSE,10,368.85,400946609,NA,NA
COCHINSHIP,INE704P01025,2024-10-21,NSE,EQ,EQ,BUY,FALSE,2,1539.7,3751681,NA,NA
BERGEPAINT,INE463A01038,2024-10-18,NSE,EQ,EQ,SELL,FALSE,2,549.7,4884331,NA,NA
BERGEPAINT,INE463A01038,2024-10-18,NSE,EQ,EQ,SELL,FALSE,10,549.65,4884332,NA,NA
BERGEPAINT,INE463A01038,2024-10-18,NSE,EQ,EQ,SELL,FALSE,18,549.65,4884333,NA,NA
AZAD,INE02IJ01035,2024-10-16,NSE,EQ,EQ,SELL,FALSE,7,1545.55,779963,NA,NA
COCHINSHIP,INE704P01025,2024-10-16,NSE,EQ,EQ,BUY,FALSE,2,1588.35,7780094,NA,NA
OLAELEC,INE0LXG01040,2024-10-15,NSE,EQ,EQ,BUY,FALSE,10,89.67,400173900,NA,NA
OLAELEC,INE0LXG01040,2024-10-14,NSE,EQ,EQ,BUY,FALSE,10,87.88,403678035,NA,NA
COCHINSHIP,INE704P01025,2024-10-14,NSE,EQ,EQ,BUY,FALSE,2,1631.2,3180595,NA,NA
PNCINFRA,INE195J01029,2024-10-14,NSE,EQ,EQ,SELL,FALSE,19,450.0,407841460,NA,NA
PNCINFRA,INE195J01029,2024-10-10,NSE,EQ,EQ,SELL,FALSE,10,449.8,400346270,NA,NA
AZAD,INE02IJ01035,2024-10-10,NSE,EQ,EQ,SELL,FALSE,2,1453.4,939099,NA,NA
AZAD,INE02IJ01035,2024-10-10,NSE,EQ,EQ,SELL,FALSE,1,1453.3,939100,NA,NA
AZAD,INE02IJ01035,2024-10-10,NSE,EQ,EQ,SELL,FALSE,2,1453.3,939101,NA,NA
COCHINSHIP,INE704P01025,2024-10-10,NSE,EQ,EQ,BUY,FALSE,2,1676.0,958360,NA,NA
OLAELEC,INE0LXG01040,2024-10-08,NSE,EQ,EQ,BUY,FALSE,10,91.92,404248809,NA,NA
